,A,B,C,D,E,F,G,H,I,J
0,795012,174619,242235,292660,964398,211821,781910,0.9994537804678932,TL2buU4Jb5,XFQ5cmKqP5
1,626343,855405,86114,955682,873540,996426,354012,0.3539263029887765,IY2LvE8Xd6,i6QoKxowpr
2,439844,486524,186660,625991,52206,939224,733941,0.7040489028247123,LWPwJpLxOq,HjWNrUCkZj
3,765688,275229,294199,415636,837378,938381,492526,0.9651175884874503,74amUR2LUr,85nXgJ4mUu
4,399154,238654,533182,758165,732306,22484,840933,0.31364080011978956,Ctw3oXb7NL,1QK4zJ1TJz
5,559700,73979,520150,789399,540575,671069,501891,0.23199479142081225,ozqxGfaShX,Isud3neDHL
6,650434,182241,170767,137389,100309,622751,141911,0.37837043916082347,LxoWELRua3,L07wAhHUzT
7,711897,758043,679984,350771,988874,149696,18520,0.13610388744456348,4KUjLoLj1s,ltqrfHsoGz
8,136143,849524,851508,25016,354228,924126,301723,0.6692879733377736,f4fZYtBMGF,EYQM9TvYj9
9,859351,904332,84847,477561,48879,323751,749813,0.907374787421457,1aFimZ15Zd,QoRnj6abx8
10,861238,403314,795388,517215,918083,736926,832401,0.6529224468311194,MDxNUQb3fn,cOFLnJPKhh
11,763670,464538,557676,158659,463872,594214,42085,0.9466107195081607,DNuTbMvXrn,cFlrwfg2gx
12,178868,520578,844051,933294,578952,157810,891491,0.21054956317042062,b8n4eM0JXf,INcDPqL6L6
13,815600,721738,604639,185801,202771,478138,395409,0.7317455901703807,v7VX2dhdlF,eypH6VqMUU
14,808946,142493,930013,220109,770547,97159,363459,0.33113091920386595,o6g3akTQ3g,veR7MmOGuO
15,967724,809375,206122,795459,427173,497140,800631,0.6360521838574389,KGrNHtCcAG,a7AndwAFAa
16,864239,216694,195327,58362,698406,137829,266384,0.6260954215974258,S3vybdQWbV,jo9nIAj2CM
17,206624,689817,468966,677165,247051,89442,741639,0.42602199267093843,SBnbvpyHRe,JEc0rv3LLB
18,475881,965934,686719,916382,287653,600106,189622,0.03710815948235047,oO5g39vKHA,cfPLscBMUh
19,401096,445485,737497,518006,617575,600483,142062,0.5265395746603635,TkSyNIyFR9,g9gXyK3FVh
20,834625,560709,143430,265639,618167,130198,207649,0.2660480885186617,A5bEw4ctVb,d9F1Om3tO2
21,590677,823965,882292,885051,524247,929558,699852,0.46334386454465526,ErZi5rs8D7,zs5jyLOgMB
22,971639,638866,636963,550784,862736,254312,188927,0.4449101354607431,eE4VJ1zsfG,o3O0xsh33V
23,483875,971697,279480,445389,492367,296673,413387,0.5762620788441213,3scTScUlYT,RlI3lpRmoV
24,182401,735128,855611,194571,817415,416816,678799,0.05114708520484146,lKaYj6L8yK,P2lvS6qkdn
25,873665,568513,151907,777267,215451,847136,227233,0.060604731059048844,wOlyQ7bdhz,zI23HNizlG
26,5995,983785,88070,820673,182855,399309,379158,0.032530301928710204,hfqAW9Hn5S,SweD3bKfaB
27,245972,387599,854560,361785,729462,981935,349122,0.3691677932337887,jOWSQGxaxE,KjsldXYbPW
28,165649,155226,104895,419915,936034,259123,549970,0.30416434195291275,2rjJIQFZGT,sVAnPXLTQb
29,313625,698645,233853,647098,900151,310049,610112,0.30237627759374286,O1GMy77nbY,p6DZ8wbI0f
30,58267,137828,311943,710892,999458,605760,155557,0.6377785080754642,c3vuVBmDe2,WBOneAtQPj
31,891735,261793,484828,137543,480799,445891,60101,0.134138295446238,Jm6YPysnwW,2nKvBqKf7s
32,95477,926155,21006,396836,234288,660519,808126,0.5445618705076231,Axz0zsJ39L,RuYrKu99fm
33,70449,903825,548730,177610,840417,740218,662378,0.06695739913238619,7c07RfOfWt,P9U6kUB92i
34,634136,846499,406140,135681,660005,348650,166291,0.6832571812768385,7CbfK0OiYe,SnXU40gupT
35,800465,906864,533262,197119,830773,769221,573335,0.11579066867461718,kKDwTEnvua,Qh1ndaE7bz
36,12490,601486,449445,158044,49676,470082,393093,0.43567207146097464,UM222zjhId,O38lL9aqum
37,176711,818395,654674,483506,247136,410467,537857,0.19804660911950533,F54txqPQdA,ApyD2Ys1WW
38,46217,340865,519682,796107,40044,954918,177298,0.3446310760342226,1SyQfvZKnY,hrAS2ldZ0k
39,418179,952691,43684,47141,779463,697817,964703,0.9158266932528956,9iiNmysiVH,BKqKZkC3di
40,164597,267654,155661,836861,140165,331407,731077,0.47717886893660055,ngsz8BwvVX,0iOt9dv4or
41,888540,934327,266265,293374,171803,10575,540745,0.0964271841465596,Taylt0UDA5,k584abWwWl
42,530314,13988,926651,449198,918100,720075,842060,0.2598961340657858,wMAJ59qPr8,6JqZzwaJ0m
43,908854,479960,760992,612092,861594,493824,837302,0.7724766022127811,usNXLqT0Sr,1z6pVc6mid
44,825646,775770,490642,245402,489880,595104,37494,0.6574894285590829,VMx5duNzb8,oiiaLCbWqM
45,461210,295562,517948,991336,932810,862531,640297,0.7117039741522849,7ApRJ10PFw,BS4iMeCgw1
46,674253,780774,397969,615352,492931,303534,617398,0.1108597476242561,J5Ire0OK3j,Zt0zICeRjJ
47,589401,343001,663277,984096,561370,401311,375449,0.8929415049318203,Tb4uEJQPDb,GDz08LuCXF
48,584347,569221,506877,205485,287187,670218,534850,0.0484399293715968,xFggyMe9RX,pryLibem91
49,54488,627357,954815,609406,222509,37215,164319,0.009531388824687625,L0tzpnD4ER,SBrIANzlHw
50,756341,681849,657191,247455,364799,989681,379216,0.9937474802133405,Cu1JlTBjSd,zcx7pIxMAa
51,800599,443373,679234,980469,998887,905971,560061,0.3465617126701237,pAtxwFX98l,6QkAeGrlwh
52,287253,605265,121202,545426,334183,129402,978065,0.7040259378743955,bpheeb9Zxg,3LGlViJKey
53,151800,495155,186159,145517,709549,772850,129358,0.8705219465550513,h7xso5qCAp,QYO5WTHtPL
54,314881,182604,161945,590267,277051,323620,66151,0.6657716735606977,3pcdBEKeu7,MpJAgFcMGJ
55,731638,925934,438279,850103,892978,364038,711227,0.28836944084403804,IGnXhaaPWx,E3lp9Dbk5s
56,127315,17183,78435,711006,16929,348128,766904,0.2801694329183425,iTIttMF1pN,23maysEFG5
57,592655,31666,440150,300346,297351,94521,570643,0.3501451423395361,kX0S9xkJ81,AOShXPAn4f
58,924448,812806,635732,932472,868509,855263,567862,0.3139957055600998,tyjlQO1eIR,InRLKZxddo
59,77810,606611,629140,466804,228367,588948,929336,0.7623898845200808,xrp1foBUBr,01xUgToNCy
60,143363,991741,168056,446978,675075,237245,894226,0.43358824565935516,emv1yfJcAj,vpqH3WS1UI
61,448793,715749,46605,671111,249479,605045,835932,0.6463670617914773,BWKaPZsLFj,JIGJmPg9BO
62,984482,655768,46554,625149,973484,283703,685645,0.6681235822683916,o78ItTeX5w,I8tRPIwYjn
63,718638,533353,999573,750266,808310,945758,346605,0.7071096955585842,5GD3iH0Bgu,VtmRfrw3rc
64,568939,775262,393819,102895,235320,585815,722067,0.7878602636910822,dpOqWm5HR7,W0F0ojdaGh
65,127912,5281,644682,149072,711913,705097,787031,0.25121378705974196,dSUujk41Du,98b4vmCYbd
66,81026,350246,499554,764270,472057,676040,153099,0.515727036221916,c1YGN8Ae9G,xdP6kUhtH3
67,139603,575589,957965,770399,135806,653355,564952,0.6521949366568169,Bx924Ff8Eh,f9jqEOu2u0
68,969866,617652,271175,754391,165119,167794,20074,0.6953132728854167,tlappmjeeg,ubDi3AC2W6
69,903120,399600,822564,888072,206690,177614,912039,0.23630652404532526,BBi4O5cKEy,Ta2pYBetCY
70,440334,891518,163059,694246,511550,606211,166930,0.31030928405279146,HqCIWo7gJJ,iSuO8ivXg7
71,787019,740620,234776,944820,465925,272818,541106,0.5094583296581034,aP9zgeXVE2,ESOPBqzMvU
72,111112,146355,398815,793070,219422,622882,381020,0.11113001073502338,hQ8Ne7CmaH,JSUtGgqabI
73,889792,146032,241549,710128,883313,734781,926639,0.7519601512092073,Dfx2U7LqUu,FKppQeWssS
74,49080,172517,98066,198358,707153,757643,43008,0.7029867258165996,zQLZSof8G5,6FgU7J2aYh
75,835185,291938,685130,836288,332503,724868,217037,0.11352829516192109,hGDjL1wZze,jFOUHN3vfi
76,431572,325390,674426,31788,283659,760696,788392,0.7998441765377584,T9VWrKoic7,hId3jgdA8V
77,139664,141812,592542,226213,672852,209700,309388,0.07574149192599544,Q1rA02qGUS,5xLNBrf2sD
78,453772,136425,291871,397167,478031,834884,148844,0.8934420336284323,69LoQuEY7v,e5hGExAshg
79,546961,349326,885556,637399,8024,128332,285838,0.03763026154011739,JkwE1WEYzd,fYXj2haEPP
80,736548,426991,572829,674002,749712,681893,359011,0.6888373966117818,SxFN18HA0f,2qLvoFSOhY
81,852267,227850,878640,959125,528915,855139,30079,0.13051129788820925,VpFsfSXlyv,olAailuFDO
82,282767,285094,751152,187794,707247,566716,901775,0.22767480439209842,4SkKUj1uuQ,TX6nC1n2A7
83,230767,68348,414088,898626,509023,136297,707642,0.306350705944915,W5SIcnTwDM,6YoJaOTexl
84,123082,647971,135102,379098,675643,76865,511815,0.9611653565038101,vnWrX5rBcZ,Q3Y4d5tMNV
85,489492,631493,496683,379920,220205,502228,619493,0.3845447911435127,SqVUae4NHZ,C1AEtI8BCt
86,695776,657706,502401,808049,4315,914428,621925,0.30906651210986247,54tVED2L3h,qUMUTz3DFT
87,605970,212990,47735,473876,631107,99796,721215,0.5860527945678019,XkP582qXE8,bWryu8QpDy
88,512520,715477,766172,49359,871963,421058,754228,0.3334008920723086,fZOjgfRxKw,sMvGvLt1lx
89,47459,738509,938995,52902,511688,813254,491719,0.5822591745800837,oVLF55MfxB,x4Sii8IO7f
90,801842,492989,204148,442318,993920,248601,813788,0.3523522386976954,Zshde1cUIu,vWX7orp5dL
91,859251,43186,262715,650637,700117,959697,840974,0.46733413329202844,vYNq1q96lp,frkrrbcwMS
92,114672,104907,571684,806143,54253,175893,463283,0.06422828045363671,PeKgVRYpvw,qtyYxwlg72
93,478408,623043,112730,222862,159392,583275,407955,0.7815219393223128,xUsh2CM4lM,wD4unE3icI
94,66367,350236,481036,610301,41069,933253,799322,0.6743204710567077,aAro2ElXxi,R15IRUoqJ0
95,872516,539570,654707,190213,284523,68235,591185,0.38648195948978703,g1PLrbBJi4,xM8guyPN8Z
96,168790,306771,771178,194338,388040,971797,53319,0.7080466116158572,MT1n9LF6Tv,7jcH0sLqdn
97,269274,192290,875223,121971,695944,746315,418669,0.2691582367244102,XZJLTW42uC,TVx4uBqgE8
98,641097,856677,673124,772363,482810,806903,54182,0.2511051237189281,PUB0cyAEfO,sn3pmBXsOk
99,901013,649757,615404,292988,396939,770918,940579,0.7225237475110567,PYLRpuG1TE,hV3dEQAnSV
100,789432,760267,620210,174528,554373,931759,627830,0.662059168027234,5O2lH8lgeb,MZIkyHV9Qz
101,496223,693166,269574,481539,112745,812485,123054,0.8824547823634765,3GjGwQYI8h,EVnuC7fWcJ
102,685283,814510,770063,362278,788675,46090,958710,0.35337089002934774,dm5N5Gj2ME,WFDJ0snKMk
103,935511,381314,837383,941645,113013,811479,250165,0.4611549092801742,LQQEkfv5Kv,ZHjYLuY2W6
104,855216,42097,384709,554854,191459,30788,431739,0.6073352424826844,8Yk6mOYDUE,kUzCilUb2m
105,126503,311298,414139,555446,331563,702000,656574,0.46010496602557016,wEhLihyjAc,Sk4cVUYXR0
106,254304,140401,363609,442064,932318,345472,60474,0.4564978967173524,19hNTScqEN,vbENIej5zo
107,790130,377383,32664,742416,801975,637713,486565,0.11706130103686052,ZXGF47oA5U,zCcPiFXsxv
108,684170,31939,577932,472007,182750,208374,242610,0.19676903955661873,KwduDVRB1U,LNLOisleQX
109,695999,36625,981909,555858,461348,477975,202056,0.9792623220972507,WB4OFLqEYf,kRUGwmBS4B
110,728374,237064,348338,827744,298946,999717,514224,0.048716727901029766,Q9Ld4JsiTE,d93v4CclOC
111,710466,873998,50595,577577,203992,461112,885201,0.8989759520764464,S0hXA2OwX3,wPcOwkKGsF
112,822621,350838,339521,412221,371753,467722,46415,0.9905358227582498,iD9VG6bK55,ju2nnIesA3
113,466519,160196,279853,558525,638931,336284,488401,0.46740583197274854,WWd4PkdFR2,PAluJP25PF
114,966826,447844,442993,620300,143804,359167,437095,0.6787837063375954,FH7qrSBVDP,nlILMpLFy3
115,324109,284702,87223,69030,193242,771648,71058,0.8578508574050109,MdkFObSP8R,y7ApweocMC
116,935263,637749,789636,120998,747573,999846,295130,0.0072974511356721505,wZveUwXrdx,wqfGAjzfms
117,7853,765014,585862,144141,201322,566201,363713,0.2575051508310805,ng0Ye9EAsw,55bpySB8Gr
118,733750,579867,979590,780619,470815,570819,338320,0.934900176893383,v6Ml0nDPED,rOmE3pAmLV
119,257603,407123,941918,533966,93087,658700,436651,0.6355808643061369,f6XUXqU2LA,BVgP7UUEDW
120,258669,716014,123163,411935,207275,482529,39011,0.6941725268158615,FG4CZD98of,gShf9Abqo8
121,850965,264945,699125,877003,28621,378274,589420,0.2727966603668859,cuo2pe8PYP,SMiFWiu0KE
122,805926,621018,67320,129065,896076,128346,692406,0.3704428022586056,LcJul1u3N7,6DgJdbodOX
123,535907,314869,986523,849803,971318,132707,468227,0.918235427732935,myvNyHuf80,lf3wFs1uYW
124,931701,426929,380736,985615,161939,655580,537283,0.609595850811372,nhJpq3Cvci,RxOzdSnXm2
125,732097,382588,29830,667601,358966,447610,487653,0.6817258977571601,1aSITVeAQG,KJL4NzIcNk
126,935927,913266,549603,657087,11036,756406,266933,0.011123139641829538,J4CPdHxk7u,IaYakrreTR
127,732810,934155,510384,536737,60862,107457,317986,0.11876278483665526,sNFoOIzZhk,w45PCThlAV
128,543086,986199,76813,536232,279800,528958,479500,0.6217664804776323,GDe67FvHmk,ywFOSIcjsn
129,104009,640801,199771,370119,584538,66131,401774,0.41214772302234004,Z16aW43vW8,9hoDj2U6k2
130,917331,440677,617572,611734,30084,679531,122911,0.40891498075096877,uvcDGMO9LT,1v2qUKApsg
131,797271,539250,523871,64870,634679,317147,445495,0.8903454948330187,qy2XXuFhVt,5B15A49m97
132,146506,853890,817794,523318,122647,403198,582806,0.8870665203379595,5K1dCkcVZi,U2MAbTfqqd
133,833470,572956,652990,718757,242221,836931,41857,0.9634926158486126,z44NozUjQF,LimwjaU4kM
134,521017,852892,736582,187902,470506,107450,97821,0.8395181686714288,6Ge1Za86Nf,amCUgMVNhU
135,552082,835301,440697,125005,998155,206742,162328,0.9519774217862469,6Fi3ZfYecp,FtJtDKb8r2
136,285790,568556,490580,567597,551106,76354,159769,0.8823320887122471,VPVq2fPMoW,Ew5jfeavOM
137,974893,851327,654526,630696,979077,202194,504249,0.9728165546370895,5H1F8CKJtv,d4QYMf7jQJ
138,256459,514481,568240,383558,706168,909945,125283,0.1224434006649825,x6g7lobQli,Jgd9b9Z3ME
139,258551,866095,876723,778438,540540,605431,727509,0.11005525351936252,9tpopbrDLB,2TJj2Utflh
140,510489,351288,301371,34858,653432,483422,974594,0.9333875516032322,Io8u7XX2Jo,4otCkl2apA
141,19533,66076,29611,956138,835838,238465,764557,0.02254019503582927,8KFxCk2IaO,tC9evYN14d
142,316956,744677,648030,597671,432545,316672,434912,0.2338272314482579,lmFL3R1L9R,VAtteJnhyh
143,39666,266573,645829,491950,107375,83252,887219,0.7108473192834006,GzVh2Lf4kc,GjetLuFxSq
144,639654,202809,851285,171482,929088,987840,503797,0.31780732029042413,4tbOQ2RDJO,Z0Xt9AAjFi
145,382431,901211,229426,167211,584813,821938,819485,0.745968366729581,2SKqwBBrEp,gwX7xwHzZh
146,403896,472117,265340,782410,912477,314542,121491,0.6102556806833705,G03LDOvFOL,jGO5Jy0GDt
147,377085,380763,588732,91479,707101,538894,328567,0.8691796218172185,GlkRnVcguI,QdAH8aDHO0
148,607967,875417,510509,160110,593313,201147,680391,0.20299442794114197,b8anpBDuGo,vCG6InXnGk
149,308228,263454,327536,751591,365697,390185,148743,0.5200530684345442,O00K2rivt3,rOKqIF5XyO
150,756231,202041,922985,562262,431457,397071,57115,0.5954420229913568,Yitd1lU5wZ,7y2j0unFhK
151,220825,366762,625459,135523,242037,728375,703101,0.23027149673205627,uf1hDInQGl,UCLUnPvpCf
152,717321,765165,152357,71405,106021,739420,482558,0.7626357097096763,FQuyPPu7To,NTANwHwat0
153,56668,84801,591471,683104,712206,805689,303372,0.7979114525810481,XyGIkAaBqk,wSW5dszVkE
154,383804,458844,549145,773351,294143,591784,448860,0.5698472314504937,IM5HAqkuGo,oJpToDCwAx
155,671856,129854,165848,856949,616846,180137,435371,0.9780588884160254,8L8sVCsWQh,RaJCXNkwdr
156,139439,158886,698929,270167,423041,810816,825650,0.5900070836021805,yP5QK29rVD,V2b9OnoDL5
157,237907,82516,525077,605234,458969,462262,501831,0.6200335222192279,BQO1pVNqF7,sv3ggUcsZ9
158,642724,178202,641411,398391,741927,929767,759253,0.9705198808819441,aBCweDRSjL,bhWHshPkIG
159,539426,879888,778127,969916,599278,547065,625877,0.5640427676679478,xQlqp3WJoL,PMb2DYeog0
160,849689,305879,334467,192923,734035,25045,343018,0.4611903807793801,GDxiGNmIuP,tmFPnZNmth
161,865551,219383,548232,689456,494833,196923,53396,0.08833768546081067,LegQFJhRlx,OUY0ZbV2He
162,970824,851211,716179,535698,397002,257671,400329,0.13666287298162394,leJ34I48QZ,9xDr3zmoty
163,273799,617320,520722,981652,747638,854464,880166,0.03934853085578405,jChMTpGVIE,2g0AIYB98U
164,333450,370584,118648,805469,632447,967853,736699,0.49751018904512334,AtxiKkoWJ3,fHvbonn3Tl
165,501309,912387,151566,871647,90275,479180,510054,0.4437563861516064,LMnpv0kFWd,MUY1sjCBLr
166,927679,29281,70120,4824,267660,175309,490753,0.006678537880312363,S2jLiGeqJD,PCfBe4ERIx
167,942167,716577,130759,616187,132936,461895,51005,0.03152564932446922,CJFWylqtA9,XwrgCKHkJ9
168,909080,620334,56960,778418,720536,170428,394175,0.3134050247113933,gwkJ2HTGC9,mKmp0CaKw4
169,899039,735781,809372,376397,244595,374206,343590,0.9861367719034202,WjuEsTxs0M,8nnZZ9ZTJP
170,379277,644782,218145,866366,273611,99227,189387,0.5290685059368678,aSNLjwLd4R,5PTqU9xHer
171,352638,393697,860364,229170,136876,146903,308279,0.9022748611030897,gEYtLa7iUa,1SGaWjWKZs
172,709287,494516,295651,505461,215088,844709,564881,0.40286774569709494,aD93HrqrCV,D0612iGbIi
173,173455,859767,129946,140554,228554,112769,626597,0.19081732599190815,giYGeDu6AD,GVBK6aRuz9
174,793392,399909,792125,378890,439438,939377,185768,0.08639384900384617,kT7d5TzltV,hHhYrr9eeN
175,388385,735589,5499,597808,782778,978288,870309,0.8763664248996922,DuGS8xABl0,4jM9yrtP7v
176,728526,738263,205875,904207,266691,954341,400398,0.8026989720830159,vSplDCchCZ,9HxD25OKvf
177,491232,825021,61241,15643,299539,632802,107076,0.45781331040251294,QMbwDbXsZH,fcOOKamalE
178,217160,275955,876528,148012,801520,944068,134095,0.05394919358620942,TBd5ameQu1,H4NXc4oEzG
179,364215,339781,867731,242847,311331,454566,762490,0.5546969523582409,vtjXqH8chQ,58MIjTRtfk
180,129492,567019,442751,650807,651793,512131,647887,0.11513620940873637,ljGj22JFpE,NxWDCO164q
181,905863,119661,913781,742042,376824,155155,98641,0.04836346099543798,6lFAQCAgja,p98ScgeWtd
182,417551,341748,996384,957467,311897,501315,265805,0.3547514768508343,yd6IYqLSpO,Zx0Gz7X2nh
183,633386,106660,322416,437019,549461,636813,461783,0.4454093405096471,CxdGdi1ODh,BW2HhGVT8F
184,726984,442558,109674,428443,81566,887197,790999,0.07268428559890583,Gsmbi07yTp,pKKYe8n2Wq
185,274843,134311,995233,747578,791367,638670,341198,0.41107314724683475,vwo7TApblO,4ncYD6Sj4t
186,98420,436687,869377,908480,284304,38963,706698,0.10080948849136262,JEvgPpHd1Q,mg6D5ZyQv0
187,406561,216522,668629,1114,679251,656732,847119,0.6441958641379373,BdDPEMlwxZ,1MEVucOrEZ
188,289180,989396,516026,864142,373219,242495,562495,0.23208819674820147,qjnavabAbN,8jHGpsPWOk
189,484190,885442,802035,206959,753445,798229,756004,0.6780016267168067,twytNduw8L,jvAbeXreAb
190,370794,883597,678559,84314,706131,510808,440329,0.26912735084781114,BgYZiex5aX,0ykzF4r7Oy
191,599467,319971,181933,932222,660086,265959,604722,0.21770765364042566,WxVimUjhjC,nGxX8FoU55
192,857017,611823,677771,222767,353167,900126,788093,0.9254522110317265,qu6W3cggXd,LicSNKanU6
193,610082,828855,350929,990887,620507,921360,774968,0.10834648934745661,GiPVpxQZt4,069tMLBq2H
194,983488,834914,829437,702024,243387,205918,765656,0.5360146128735536,xuqZbhGPtS,M1AcraerZ2
195,307158,530928,305226,142311,166824,451929,823689,0.38009519823278237,9bliCnu83V,cQaR63b6gn
196,148122,491045,544165,578844,562614,577781,237471,0.9381660546983901,HDmqDfOAfe,NFG8lE5KZi
197,810995,447252,143791,310632,117644,570395,423694,0.8058274958159065,YKUITIxzMZ,Vfs4u1gzA1
198,145313,982860,880783,872054,648801,119672,224865,0.6104447733813836,RJx6cBksiU,JfzUakrJBW
199,9494,34402,803269,618940,144052,535147,813188,0.17345679234633493,uGW3XLrwS0,JK5T0FZQ9C
